Rank,CompanyName,Workers,PreviousWorker,Website,State,City,Growth,Industry,Metro,MetroCode,ZipCode,Founded
16,Marketcall,70,3,http://marketcall.com,California,Pasadena,"11,186",Advertising & Marketing,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",91105,2018
17,COMPEO,106,3,http://compeo.io,Florida,Dania,"10,915",Human Resources,Miami,"Miami-Fort Lauderdale-Pompano Beach, FL",33004,2017
18,Ascend Agency,13,1,http://ascendagency.com,California,Irvine,"10,617",Advertising & Marketing,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",92612,2019
19,The Woobles,16,3,http://thewoobles.com,North Carolina,Chapel Hill,"10,406",Consumer Products,Durham-Chapel Hill,"Durham-Chapel Hill, NC",27517,2019
20,Kodiak,198,68,http://kodiak.ai,California,Mountain View,"10,106",Logistics & Transportation,San Jose,"San Jose-Sunnyvale-Santa Clara, CA",94043,2018
21,Wisetack,141,24,wisetack.com,Oregon,Beaverton,"10,010",Financial Services,Portland,"Portland-Vancouver-Hillsboro, OR-WA",97008,2018
22,DQS Solutions & Staffing,3148,247,dqstaff.com,Michigan,Dearborn,"9,912",Human Resources,Detroit,"Detroit-Warren-Dearborn, MI",48126,2019
23,EJL Entertainment,89,12,ejlentertainment.com,California,San Gabriel,"9,707",Food & Beverage,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",91776,2019
24,Tarana Wireless,426,175,taranawireless.com,California,Milpitas,"9,514",Telecommunications,San Jose,"San Jose-Sunnyvale-Santa Clara, CA",95035,2009
25,Liberty1 Financial,60,9,liberty1financial.com,California,Irvine,"9,180",Financial Services,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",92606,2008
26,Auxilior Capital Partners,92,18,auxcap.com,Pennsylvania,Plymouth Meeting,"8,917",Financial Services,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19462,2019
27,Uwill,53,4,uwill.com,Massachusetts,Natick,"8,722",Health Services,Boston,"Boston-Cambridge-Newton, MA-NH",1760,2019
28,Clutch (CA),147,7,http://connectwithclutch.com,California,Rancho Cordova,"8,123",Business Products & Services,Sacramento,"Sacramento--Arden-Arcade--Roseville, CA",95670,2019
29,Gordian Staffing,530,1,gordianstaffing.com,Nebraska,Omaha,"8,120",Human Resources,Omaha,"Omaha-Council Bluffs, NE-IA",68022,2019
30,Superfan Live,18,3,wearesuper.co,Florida,Clearwater,"7,906",Travel & Hospitality,Tampa,"Tampa-St. Petersburg-Clearwater, FL",33755,2019
31,Forest Media Group,23,3,withtheforest.com,New York,New York,"7,660",Advertising & Marketing,New York,"New York-Newark-Jersey City, NY-NJ-PA",10025,2008
32,Segment HR,65,2,segmenthr.org,Texas,The Woodlands,"7,353",Government Services,Houston,"Houston-The Woodlands-Sugar Land, TX",77380,2018
33,EDM Leads,54,2,http://edmleadnetwork.com,Arizona,Gilbert,"7,322",Advertising & Marketing,Phoenix,"Phoenix-Mesa-Chandler, AZ",85296,2018
34,Chaberton Energy,41,5,http://chaberton.com,Maryland,Rockville,"7,297",Energy,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",20852,2019
35,Why Unified,51,4,whyunified.com,Delaware,Newark,"7,191",Business Products & Services,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19713,2018
36,Zap Mortgage,16,5,zapmortgage.com,Florida,Sarasota,"7,183",Financial Services,Sarasota,"North Port-Sarasota-Bradenton, FL",34231,2016
37,Kin Insurance,602,207,kin.com,Illinois,Chicago,"7,050",Insurance,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",60654,2017
38,Maev,19,3,meetmaev.com,Texas,Austin,"6,743",Consumer Products,Austin,"Austin-Round Rock-Georgetown, TX",78705,2018
39,DebtBook,162,7,http://debtbook.com,North Carolina,Charlotte,"6,722",Software,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",28208,2019
40,Gamefam,245,33,gamefam.com,California,Los Angeles,"6,390",Media,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",90021,2019
41,Snappt,80,12,http://snappt.com,California,Ojai,"6,323",Artificial Intelligence,Oxnard,"Oxnard-Thousand Oaks-Ventura, CA",93023,2019
42,GoTu Technology,149,2,joingotu.com,Florida,Miami,"6,282",Human Resources,Miami,"Miami-Fort Lauderdale-Pompano Beach, FL",33131,2019
43,Team GO Ventures,44,4,http://teamgoventures.com,Arkansas,Bentonville,"6,271",Advertising & Marketing,"Fayetteville, AR","Fayetteville-Springdale-Rogers, AR",72712,2019
44,Amara,7,1,http://amaraorganicfoods.com,California,San Francisco,"6,248",Food & Beverage,San Francisco,"San Francisco-Oakland-Berkeley, CA",94117,2017
45,FlyUSA,35,2,http://flyusa.com,Florida,Clearwater,"6,218",Travel & Hospitality,Tampa,"Tampa-St. Petersburg-Clearwater, FL",33759,2020
46,Archer Review,22,1,http://archerreview.com,Texas,DALLAS,"5,771",Health Services,Dallas,"Dallas-Fort Worth-Arlington, TX",75078,2009
47,i80 Group,20,6,i80group.com,New York,New York,"5,708",Financial Services,New York,"New York-Newark-Jersey City, NY-NJ-PA",10019,2016
48,CleanFiber,95,25,cleanfiber.com,New York,Blasdell,"5,684",Manufacturing,Buffalo,"Buffalo-Cheektowaga, NY",14219,2013
49,PL360°,50,2,http://privatelending360.com,California,Chula Vista,"5,566",Financial Services,San Diego,"San Diego-Chula Vista-Carlsbad, CA",91914,2018
50,Panda Exteriors,121,7,pandaexteriors.com,Maryland,Laurel,"5,504",Construction,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",20708,2019
51,Dryeye Rescue,21,3,providers.dryeyerescue.com,Florida,Boca Raton,"5,468",Advertising & Marketing,Miami,"Miami-Fort Lauderdale-Pompano Beach, FL",33487,2019
52,CityLight Homes,6,3,citylighthomes.com,Massachusetts,Peabody,"5,226",Real Estate,Boston,"Boston-Cambridge-Newton, MA-NH",1960,2011
53,Blu Omega,113,23,bluomega.com,Virginia,ASHBURN,"5,218",IT Services,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",20148,2018
54,The Luxe Room,20,1,luxeroomcosmetic.com,Colorado,Denver,"5,017",Consumer Services,Denver,"Denver-Aurora-Lakewood, CO",80210,2019
55,Like Air,8,2,http://likeairsnacks.com,New Jersey,Madison,"5,002",Food & Beverage,New York,"New York-Newark-Jersey City, NY-NJ-PA",7940,2018
56,Sharebite,83,24,http://sharebite.com,New York,New York,"4,914",Business Products & Services,New York,"New York-Newark-Jersey City, NY-NJ-PA",10001,2016
57,Transparent Dental Group,80,2,smileobsession.com,Illinois,Oak Brook Terrace,"4,890",Health Services,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",60181,2019
58,Mainfactor,32,6,mainfactor.com,Pennsylvania,Philadelphia,"4,862",Software,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19107,2019
58,CourtAvenue,109,8,courtavenue.com,California,San Diego,"4,802",Advertising & Marketing,San Diego,"San Diego-Chula Vista-Carlsbad, CA",92101,2019
59,ProxyPics,30,7,proxypics.com,Illinois,Chicago,"4,794",Software,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",60634,2016
60,Brightside Windows,25,2,brightsidewindows.com,Oregon,Portland,"4,749",Construction,Portland,"Portland-Vancouver-Hillsboro, OR-WA",97223,2019
61,Bucket List Events,5,4,http://bucketlistevents.com,Texas,The Hills,"4,736",Travel & Hospitality,Austin,"Austin-Round Rock-Georgetown, TX",78738,2017
62,Spot Pet Insurance,43,1,spotpetins.com,Florida,Miami,"4,700",Insurance,Miami,"Miami-Fort Lauderdale-Pompano Beach, FL",33132,2019
63,PRIORITY PLUS FINANCIAL,90,10,priorityplusfinancial.com,California,COSTA MESA,"4,680",Financial Services,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",92626,2019
64,Religion of Sports,46,19,http://religionofsports.com,California,Los Angeles,"4,673",Media,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",90066,2017
65,Empower Finance,104,31,empower.me,California,San Francisco,"4,596",Financial Services,San Francisco,"San Francisco-Oakland-Berkeley, CA",94108,2016
66,Crave Retail,14,4,craveretail.com,Texas,Austin,"4,368",Software,Austin,"Austin-Round Rock-Georgetown, TX",78748,2018
67,PostPilot,77,2,http://postpilot.com,South Carolina,Spartanburg,"4,281",Consumer Products,,"Spartanburg, SC",29303,2018
68,Fusion Power,143,15,fusionpowerco.com,Arizona,Chandler,"4,251",Energy,Phoenix,"Phoenix-Mesa-Chandler, AZ",85226,2017
69,Slumber Stay,50,6,slumberstay.com,Illinois,Chicago,"4,234",Travel & Hospitality,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",60611,2019
70,Canela Media,151,8,canelamedia.com,New York,New York,"4,163",Advertising & Marketing,New York,"New York-Newark-Jersey City, NY-NJ-PA",10017,2019
71,HeroDevs,68,12,http://herodevs.com,Utah,Sandy,"4,105",Business Products & Services,Salt Lake City,"Salt Lake City, UT",84070,2018
72,StatPearls,5,1,statpearls.com,Florida,St Petersburg,"4,031",Education,Tampa,"Tampa-St. Petersburg-Clearwater, FL",33711,2015
73,Earp Aviation Repairs,22,6,earpaviation.com,Arizona,Chandler,"4,004",Logistics & Transportation,Phoenix,"Phoenix-Mesa-Chandler, AZ",85225,2019
74,wildwonder,10,2,http://drinkwildwonder.com,California,South San Francisco,"3,986",Food & Beverage,San Francisco,"San Francisco-Oakland-Berkeley, CA",94080,2019
75,Publishing.com,81,5,http://publishing.com,Texas,Austin,"3,907",Business Products & Services,Austin,"Austin-Round Rock-Georgetown, TX",78731,2018
76,Hyqoo,78,20,http://hyqoo.com,New Jersey,New Jersey,"3,864",Human Resources,New York,"New York-Newark-Jersey City, NY-NJ-PA",7920,2019
77,Novo,315,43,http://novo.co,Florida,Miami,"3,843",Financial Services,Miami,"Miami-Fort Lauderdale-Pompano Beach, FL",33130,2016
78,Fortreum,81,8,http://fortreum.com,Virginia,Lansdowne,"3,831",IT Services,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",20176,2019
79,Skydeo,6,1,skydeo.com,Texas,Austin,"3,819",Advertising & Marketing,Austin,"Austin-Round Rock-Georgetown, TX",78704,2015
80,Wildfire Systems,56,5,wildfire-corp.com,California,Solana Beach,"3,780",Software,San Jose,"San Jose-Sunnyvale-Santa Clara, CA",95075,2017
81,MintLeads.io,18,1,mintleads.io,Georgia,Atlanta,"3,768",Advertising & Marketing,Atlanta,"Atlanta-Sandy Springs-Alpharetta, GA",30339,2019
82,CaryHealth,40,6,http://cary.health,District of Columbia,Washington,"3,752",Artificial Intelligence,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",20005,2017
83,StaffDNA,85,14,staffdna.com,Texas,Plano,"3,729",Human Resources,Dallas,"Dallas-Fort Worth-Arlington, TX",75024,2019
84,eHawk Solutions,30,9,ehawksolutions.com,Missouri,Lees Summit,"3,727",Government Services,Kansas City,"Kansas City, MO-KS",64064,2016
85,Dow Janes,15,2,http://dowjanes.com,Washington,Vancouver,"3,710",Education,Portland,"Portland-Vancouver-Hillsboro, OR-WA",98682,2019
86,Viva Finance,34,5,viva-finance.com,Georgia,Atlanta,"3,697",Financial Services,Atlanta,"Atlanta-Sandy Springs-Alpharetta, GA",30303,2019
87,Nectar,52,5,nectarhr.com,Utah,Orem,"3,666",Software,Provo,"Provo-Orem, UT",84057,2016
88,UMortgage,433,48,umortgage.com,Pennsylvania,Philadelphia,"3,636",Financial Services,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19103,2019
89,Dhanani Private Equity Group,29,10,dhananipeg.com,Texas,Stafford,"3,617",Real Estate,Houston,"Houston-The Woodlands-Sugar Land, TX",77477,2012
90,Spartan Fitness Holdings,1125,50,spartanfitnessholdings.com,Tennessee,Brentwood,"3,616",Health Services,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",37024,2019
91,Spring Health,993,89,springhealth.com,New York,New York City,"3,557",Health Services,New York,"New York-Newark-Jersey City, NY-NJ-PA",10010,2016
92,Drury Design,21,1,drurydesigns.com,Illinois,Glen Ellyn,"3,532",Construction,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",60137,2011
93,Giant Sports Cards,10,1,giantsportscards.com,Georgia,Alpharetta,"3,529",Retail,Atlanta,"Atlanta-Sandy Springs-Alpharetta, GA",30004,2019
94,Sanguine Strategic Advisors,15,2,sanguinesa.com,Illinois,Chicago,"3,491",Business Products & Services,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",60657,2018
95,1upHealth,150,38,1up.health,Massachusetts,Boston,"3,435",Health Products,Boston,"Boston-Cambridge-Newton, MA-NH",2210,2017
96,Hiring4Less,18,2,http://hiring4less.com,New York,Monsey,"3,371",Human Resources,New York,"New York-Newark-Jersey City, NY-NJ-PA",10952,2018
97,SoDella Construction,55,26,sodella.com,Arizona,Scottsdale,"3,326",Construction,Phoenix,"Phoenix-Mesa-Chandler, AZ",85254,2017
98,Built By Grid,60,12,builtbygrid.com,Texas,Dallas,"3,298",Manufacturing,Dallas,"Dallas-Fort Worth-Arlington, TX",75243,2019
99,Servos,46,12,servos.io,Virginia,Richmond,"3,249",IT Services,Richmond,"Richmond, VA",23230,2019
100,Beach Boss Influencers,36,5,beachbossinfluencers.com,Indiana,Newburgh,"3,231",Advertising & Marketing,Evansville,"Evansville, IN-KY",47630,2019
101,UPSTACK,213,18,upstack.com,New York,New York,"3,190",IT Services,New York,"New York-Newark-Jersey City, NY-NJ-PA",10007,2017
102,WBE Technologies,10,2,gowbe.com,Washington,Renton,"3,187",Telecommunications,Seattle,"Seattle-Tacoma-Bellevue, WA",98057,2018
103,UltraCare Services,477,53,http://ultracareservices.net,California,Beverly Hills,"3,109",Health Services,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",90211,2012
104,ConnectM Technology Solutions,160,17,connectm.com,Massachusetts,Marlborough,"3,078",Energy,Boston,"Boston-Cambridge-Newton, MA-NH",1752,2016
105,TrueBooks,22,1,http://truebookscpa.com,Nevada,Henderson,"3,065",Financial Services,Las Vegas,"Las Vegas-Henderson-Paradise, NV",89074,2019
106,Transfr,271,20,transfrinc.com,New York,New York,"3,055",Education,New York,"New York-Newark-Jersey City, NY-NJ-PA",10018,2017
107,Realty.com,31,15,http://realty.com,Texas,Houston,"3,052",Real Estate,Houston,"Houston-The Woodlands-Sugar Land, TX",77074,2016
108,Titanium Tours,17,4,titaniumtours.com,New Jersey,Bedminster,"3,018",Travel & Hospitality,New York,"New York-Newark-Jersey City, NY-NJ-PA",7921,2011
109,BRANWYN,3,2,http://branwyn.com,Oregon,BEND,"3,009",Consumer Products,,"Bend, OR",97702,2019
110,Apex Coatings,14,2,apexcontracting.com,Utah,Murray,"2,999",Construction,Salt Lake City,"Salt Lake City, UT",84107,2019
111,Refloor,378,26,refloor.com,Michigan,Troy,"2,983",Consumer Products,Detroit,"Detroit-Warren-Dearborn, MI",48083,2019
112,C. R. Wannamaker Law,170,4,crwannamakerlaw.com,Texas,El Paso,"2,966",Legal,,"El Paso, TX",79902,2019
113,Arkos Health,544,130,arkoshealth.com,Arizona,Gilbert,"2,950",Health Services,Phoenix,"Phoenix-Mesa-Chandler, AZ",85297,2018
114,WorkBetterNow,30,1,workbetternow.com,New York,New York,"2,936",Business Products & Services,New York,"New York-Newark-Jersey City, NY-NJ-PA",10036,2018
115,LJV Development,19,3,http://ljvdevelopment.com,Massachusetts,Boston,"2,904",Construction,Boston,"Boston-Cambridge-Newton, MA-NH",2149,2018
116,Resident Ventures,28,4,meetresident.com,New York,New York,"2,895",Travel & Hospitality,New York,"New York-Newark-Jersey City, NY-NJ-PA",10001,2018
117,XIL Health,30,17,xilhealth.com,Florida,Estero,"2,874",Health Services,Cape Coral,"Cape Coral-Fort Myers, FL",33928,2013
118,OneroRx,639,27,onerorx.com,Iowa,West Des Moines,"2,862",Health Services,Des Moines,"Des Moines-West Des Moines, IA",50266,2016
119,Cynet Health,997,105,cynethealth.com,Virginia,Sterling,"2,848",Human Resources,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",20166,2016
120,ThreatLocker®,304,25,threatlocker.com,Florida,Orlando,"2,845",Security,Orlando,"Orlando-Kissimmee-Sanford, FL",32810,2017
121,Awestruck,51,9,http://awestruck.agency,Pennsylvania,Bethlehem,"2,811",Advertising & Marketing,Allentown,"Allentown-Bethlehem-Easton, PA-NJ",18015,2018
122,Cornbread Hemp,42,3,http://cornbreadhemp.com,Kentucky,Louisville,"2,797",Consumer Products,Louisville,"Louisville/Jefferson County, KY-IN",40204,2019
123,National Consulting Partners,33,3,ncp-llc.com,Virginia,Woodbridge,"2,797",Government Services,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",22191,2019
124,I 55 Book Fairs,20,2,https://i55bookfairs.com/,Texas,Bryan,"2,797",Retail,"College Station, TX","College Station-Bryan, TX",77802,2016
125,Nutriient,65,10,nutriient.biz,Utah,Lindon,"2,753",Manufacturing,Provo,"Provo-Orem, UT",84042,2019
126,Summit Medical Staffing,323,67,summitmedstaff.com,Nebraska,Fremont,"2,746",Human Resources,,,68025,2013
127,TruDiagnostic,22,8,http://trudiagnostic.com,Kentucky,Lexngton,"2,707",Health Services,Lexington,"Lexington-Fayette, KY",40503,2019
128,PatientFi,87,8,patientfi.com,California,Irvine,"2,682",Financial Services,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",92618,2017
129,Sandbox VR,670,168,sandboxvr.com,California,Pleasanton,"2,675",Arts & Entertainment,San Francisco,"San Francisco-Oakland-Berkeley, CA",94588,2016
130,Valor Paytech,200,20,valorpaytech.com,New York,Jericho,"2,652",Financial Services,New York,"New York-Newark-Jersey City, NY-NJ-PA",11753,2019
131,iSolutions Payments,8,2,isolutionspayments.com,Indiana,Zionsville,"2,648",Software,Indianapolis,"Indianapolis-Carmel-Anderson, IN",46077,2019
132,Already Autism Health,367,25,autismtherapyusa.com,North Carolina,Charlotte,"2,607",Health Services,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",28262,2019
133,Life Changing Energy,6,1,lifechangingenergy.com,Michigan,Brighton,"2,591",Education,Detroit,"Detroit-Warren-Dearborn, MI",48114,2015
134,ANOVA Digital,8,2,anovadigital.net,Texas,Richardson,"2,579",Advertising & Marketing,Dallas,"Dallas-Fort Worth-Arlington, TX",75082,2018
135,KESTA IT,24,7,http://kestait.com,Utah,Salt Lake Cty,"2,524",Human Resources,Salt Lake City,"Salt Lake City, UT",84124,2018
136,Omega Foundation Services,90,8,omega-foundations.com,Louisiana,Slaughter,"2,520",Construction,Baton Rouge,"Baton Rouge, LA",70777,2019
137,SparkPlug Applications,35,4,sparkplug.app,California,San Francisco,"2,479",Software,San Francisco,"San Francisco-Oakland-Berkeley, CA",94104,2018
138,Black Canyon Consulting,107,28,http://bccdc.net,Virginia,Fairfax,"2,479",IT Services,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",22033,2017
139,Closinglock,37,2,closinglock.com,Texas,Austin,"2,475",Software,Austin,"Austin-Round Rock-Georgetown, TX",78701,2017
140,Boulder Care,145,50,boulder.care,Oregon,Portland,"2,461",Health Services,Portland,"Portland-Vancouver-Hillsboro, OR-WA",97204,2017
141,Vouched,27,14,vouched.id,Washington,Seattle,"2,443",Software,Seattle,"Seattle-Tacoma-Bellevue, WA",98104,2015
142,365 Labs,45,18,365labs.com,Louisiana,Baton Rouge,"2,442",Software,Baton Rouge,"Baton Rouge, LA",70810,2016
143,Lucid Bots,28,5,lucidbots.com,North Carolina,Charlotte,"2,434",Manufacturing,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",28216,2018
144,Coterie,59,2,coterie.com,New York,NEW YORK,"2,413",Consumer Products,New York,"New York-Newark-Jersey City, NY-NJ-PA",10013,2019
145,KlariVis,54,21,klarivis.com,Virginia,Roanoke,"2,395",Financial Services,,"Roanoke, VA",24018,2019
146,Prospect Events,3,2,http://prospectevents.com,New York,White Plains,"2,390",Business Products & Services,New York,"New York-Newark-Jersey City, NY-NJ-PA",11216,2019
147,The Plug Drink,10,5,theplugdrink.com,California,Los Angeles,"2,380",Food & Beverage,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",90058,2019
148,Lively,166,74,http://livelyme.com,California,San Francisco,"2,380",Human Resources,San Francisco,"San Francisco-Oakland-Berkeley, CA",94108,2016
149,Grow Care Outdoor Solutions,62,20,growcaresolutions.com,Florida,North Fort Myers,"2,360",Construction,Cape Coral,"Cape Coral-Fort Myers, FL",33903,2019
150,Praxis Labs,35,8,http://praxislabs.co,California,Los Angeles,"2,352",Software,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",90069,2019
151,Turnkey Tech Staffing,215,60,http://turnkeystaffing.com,California,Menlo Park,"2,345",Human Resources,San Francisco,"San Francisco-Oakland-Berkeley, CA",94025,2019
152,Invisible Technologies,123,31,http://invisible.co,California,San Francisco,"2,342",Artificial Intelligence,San Francisco,"San Francisco-Oakland-Berkeley, CA",94104,2015
153,PROLIM Government Technologies,31,5,prolimgovt.com,Michigan,Farmington Hills,"2,342",Engineering,Detroit,"Detroit-Warren-Dearborn, MI",48334,2004
154,Aidentified,35,10,aidentified.com,Massachusetts,Concord,"2,323",Software,Boston,"Boston-Cambridge-Newton, MA-NH",1742,2017
155,Ludus,19,2,ludus.com,Michigan,Holland,"2,319",Software,Grand Rapids,"Grand Rapids-Kentwood, MI",49423,2016
156,Hawke Media,138,144,hawkemedia.com,California,Santa Monica,"2,307",Advertising & Marketing,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",90404,2014
157,Five Star Franchising,180,73,fivestarfranchising.com,Utah,Springville,"2,304",Business Products & Services,Provo,"Provo-Orem, UT",84663,2015
158,Clara Capital,30,1,claracap.com,New York,Syosset,"2,295",Financial Services,New York,"New York-Newark-Jersey City, NY-NJ-PA",11791,2019
159,Ladidadi,14,1,http://ladidadixm.com,Illinois,Clarendon Hills,"2,295",Travel & Hospitality,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",60514,2017
160,Haven Hot Chicken,137,12,http://havenhotchicken.com,Connecticut,New Haven,"2,287",Food & Beverage,New Haven,"New Haven-Milford, CT",6510,2019
161,H-PROOF,2,1,h-proof.com,Florida,Hallandale Beach,"2,282",Consumer Products,Miami,"Miami-Fort Lauderdale-Pompano Beach, FL",33009,2018
162,Tenna,112,57,tenna.com,Pennsylvania,New Hope,"2,277",Software,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",18938,2015
163,Boulevard,219,87,http://joinblvd.com,California,Los Angeles,"2,276",Software,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",90017,2016
164,CloudServus,33,5,cloudservus.com,Texas,Austin,"2,269",IT Services,Austin,"Austin-Round Rock-Georgetown, TX",78759,2014
165,Nok Recommerce,70,5,http://nokrecommerce.com,Texas,Austin,"2,267",Logistics & Transportation,Austin,"Austin-Round Rock-Georgetown, TX",78704,2019
166,Findem,106,20,findem.ai,California,Redwood City,"2,262",Software,San Francisco,"San Francisco-Oakland-Berkeley, CA",94065,2019
167,Maestro Media,5,2,http://maestromedia.com,Colorado,Denver,"2,252",Business Products & Services,Denver,"Denver-Aurora-Lakewood, CO",80237,2019
168,Numa,30,9,numa.com,California,Lafayette,"2,248",Artificial Intelligence,San Francisco,"San Francisco-Oakland-Berkeley, CA",94549,2017
169,Wakefield Biochar,62,3,wakefieldbiochar.com,Georgia,VALDOSTA,"2,241",Environmental Services,,"Valdosta, GA",31601,2014
170,Pneuma Media,7,1,pneumallc.co,Colorado,Denver,"2,241",Advertising & Marketing,Denver,"Denver-Aurora-Lakewood, CO",80204,2019
171,Telex,37,2,http://telexllc.com,Arkansas,Fayetteville,"2,232",Engineering,"Fayetteville, AR","Fayetteville-Springdale-Rogers, AR",72704,2014
172,DSP Connections,1460,200,dspconnections.org,Oregon,Salem,"2,217",Health Services,,"Salem, OR",97302,2019
173,apiphani,31,3,apiphani.io,Massachusetts,Boston,"2,210",IT Services,Boston,"Boston-Cambridge-Newton, MA-NH",2109,2018
174,OrnamentallyYou,4,1,ornamentallyyou.com,New Jersey,Fair lawn,"2,202",Consumer Products,New York,"New York-Newark-Jersey City, NY-NJ-PA",7410,2019
175,Fusus,124,17,fusus.com,Georgia,"Peachtree Corners,","2,177",Software,Atlanta,"Atlanta-Sandy Springs-Alpharetta, GA",30092,2019
176,Aiden Technologies,23,6,http://meetaiden.com,Texas,McKinney,"2,176",Security,Austin,"Austin-Round Rock-Georgetown, TX",78746,2019
177,Element5,27,7,e5.ai,California,San Jose,"2,154",Health Services,Seattle,"Seattle-Tacoma-Bellevue, WA",98125,2019
178,Advanced Tech Placement,53,5,advancedtechplacement.com,Georgia,Marietta,"2,150",Business Products & Services,Atlanta,"Atlanta-Sandy Springs-Alpharetta, GA",30066,2019
179,Visit.org,89,23,visit.org,New York,New York,"2,145",Software,New York,"New York-Newark-Jersey City, NY-NJ-PA",10007,2015
180,RentRedi,42,11,rentredi.com,New York,Latham,"2,143",Real Estate,Albany,"Albany-Schenectady-Troy, NY",12110,2016
181,Quattro Climate Control,40,5,quattrocc.com,Arizona,Scottsdale,"2,138",Construction,Phoenix,"Phoenix-Mesa-Chandler, AZ",85260,2015
